TMJA;LANES;TYPE TRAIT;HAS SHOULDER;VITESSE LIMITE;TR;P_PENETRANTE;P_PEAGE;P_AIRE_SERVICE;ENTREE VILLE;DMU;SCORE;Image
18848;4;Discontinue;no;60;1;Non;Non;Non;Non;5;1;Intersection.124.png
18848;4;Discontinue;no;60;1;Non;Non;Non;Non;3;1;Intersection.127.png
10033;4;Continue;no;60;5;Non;Non;Non;Oui;1;0;Intersection.130.png
7155;2;Discontinue;no;60;4;Non;Non;Non;Oui;1;0;Intersection.133.png
44827;3;Discontinue;yes;120;10;Oui;Oui;Non;Non;20;1;Intersection.136.png
51286;3;Discontinue;yes;120;10;Oui;Non;Non;Non;20;0;Intersection.139.png
19670;3;Discontinue;yes;120;10;Oui;Non;Oui;Non;20;0;Intersection.142.png
35304;3;Discontinue;yes;120;10;Oui;Oui;Non;Non;20;0;Intersection.145.png
35304;3;Discontinue;yes;120;10;Oui;Oui;Non;Non;20;0;Intersection.148.png
60211;3;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Intersection.151.png
60211;3;Discontinue;yes;120;10;Oui;Non;Non;Non;20;0;Intersection.154.png
56600;3;Discontinue;yes;120;10;Non;Non;Non;Non;20;0;Intersection.157.png
52156;6;Discontinue;yes;120;10;Oui;Oui;Non;Non;20;0;Intersection.160.png
57420;3;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Intersection.163.png
57420;3;Discontinue;yes;120;10;Oui;Non;Non;Non;20;0;Intersection.166.png
14170;2;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Intersection.169.png
13626;2;Discontinue;yes;120;10;Non;Non;Oui;Non;20;1;Rectiligne.172.png
13488;2;Discontinue;yes;120;10;Oui;Oui;Oui;Non;20;0;Rectiligne.175.png
7069;2;Discontinue;yes;120;10;Non;Non;Oui;Non;20;1;Rectiligne.178.png
7069;2;Discontinue;yes;120;10;Non;Non;Oui;Non;20;1;Rectiligne.181.png
7201;2;Discontinue;yes;120;10;Non;Non;Non;Non;20;1;Rectiligne.184.png
7201;4;Discontinue;yes;120;10;Non;Non;Non;Non;20;0;Rectiligne.187.png
7201;2;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Rectiligne.190.png
7105;2;Discontinue;yes;120;10;Oui;Oui;Oui;Non;20;0;Rectiligne.193.png
13288;2;Discontinue;yes;120;10;Oui;Non;Oui;Non;20;1;Rectiligne.196.png
13288;2;Discontinue;yes;120;10;Oui;Non;Oui;Non;20;1;Rectiligne.199.png
13807;2;Discontinue;yes;120;10;Non;Non;Oui;Non;20;0;Rectiligne.202.png
3602;2;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Rectiligne.205.png
3602;2;Discontinue;yes;120;10;Oui;Non;Non;Non;20;1;Rectiligne.208.png
11923;2;Discontinue;yes;120;10;Oui;Non;Oui;Non;20;1;Rectiligne.211.png
15813;2;Discontinue;yes;120;10;Oui;Non;Oui;Non;20;1;Rectiligne.214.png
14344;2;Discontinue;yes;120;10;Non;Non;Oui;Non;20;1;Rectiligne.217.png
